index,village,city/region,lat,lon
3,Montesinho,Braganca,41.93903807,-6.76542222
4,Aveleda,Braganca,41.8905739,-6.696835097
5,Rio de Onor,Braganca,41.9401904,-6.6162480
1,Cova da Lua,Braganca,41.88905161191132,-6.822156751193221
2,Moimenta,Vinhais,41.95093593904816,-6.974989824599141
6,Montouto,Vinhais,41.92817855783655,-6.990102857250084
7,Pinheiro Velho,Braganca,41.95867038827547,-7.11595906824153
9,Pinheiro Novo,Vinhais,41.964658540946736,-7.138300123797846
8,Figueira,Pedrogão Grande,39.9223608,-8.2334255
10,Sarzedas de Sao Pedro, Castanheira da Pera,39.9601413,-8.2156663
11,Sarzedas de Vasco, Castanheira da Pera,39.9541908,-8.2175294
